mean,stdev,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,1,0.39894228,0.483941449,0.107981933,0.008863697,0.00026766,2.97E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5,0.079788456,0.156417078,0.147308056,0.133289841,0.115876621,0.09678829,0.077674422,0.059890986,0.044368334,0.031580063,0.021596387,0.014189837,0.008957812,0.005433188,0.003166181,0.001772739,0.000953635,0.000492888,0.000244761,0.000116779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10,0.039894228,0.079390509,0.078208539,0.076277563,0.073654028,0.070413065,0.066644921,0.062450787,0.057938311,0.05321705,0.048394145,0.043570435,0.038837211,0.034273718,0.029945493,0.025903519,0.022184167,0.018809815,0.015790032,0.013123163,0.010798193,0.008796719,0.007094919,0.005665408,0.004478906,0.00350566,0.002716594,0.002084187,0.00158309,0.001190506,0.00088637,0.000653364,0.000476818,0.000344514,0.000246444,0.000174537,,,,,,,,,,,,,,,,
0,15,0.026596152,0.05307423,0.052721579,0.052139026,0.05133425,0.050317764,0.049102685,0.047704457,0.046140519,0.044429947,0.042593067,0.040651057,0.03862554,0.036538196,0.034410377,0.032262763,0.030115044,0.027985639,0.025891474,0.023847789,0.02186801,0.019963662,0.018144331,0.01641767,0.014789445,0.013263619,0.011842461,0.010526688,0.00931561,0.008207307,0.007198796,0.006286209,0.005464967,0.004729946,0.004075628,0.003496252,0.002985937,0.0025388,0.002149048,0.001811063,0.001519465,0.001269164,0.001055394,0.000873738,0.000720141,0.000590913,0.000482725,0.000392596,0.000317878,0.00025624,0.000205637,0.000164296
